context_id,question
7726203625027724684,شرکت فولاد مبارکه در کجا واقع شده است
7726203625027724684,فولاد مبارکه چند بار برنده جایزه شرکت دانشی را کسب کرده است؟
7726203625027724684,شرکت فولاد مبارکه در سال ۱۳۹۱ چه جایزه ای برد؟
7726203625027724684,بزرگ ترین مجموعه تولید فولاد ایران چیست؟
7726203625027724684,فولاد مبارکه در چه سالی احداث شد؟
7726203625027724684,مصرف آب فولاد مبارکه چقدر است؟
7726203625027724684, بزرگ‌ترین واحد صنعتی خصوصی در ایران چیست؟
5864093557856031219,تعریف علوم کامپیوترچیست؟
5864093557856031219,رشته علوم کامپوتر را چگونه می توان تقسیم کرد؟
5864093557856031219,تمرکز رشته های علوم کامپیوتر روی چیست؟
5864093557856031219,اولین مکان علمی که عبارت داده شناسی را استفاده کرد کجا بود؟
5864093557856031219,چه کسی گفته که علم رایانه به همان اندازه در مورد رایانه است که نجوم در مورد تلسکوپ؟
5864093557856031219,کشورهای پیشرفته در زمینهٔ علوم کامپیوتر کدام اند؟
5864093557856031219, اولین گروه داده‌شناسی توسط چه کسی و در چه سالی بنا شد؟
3789459299051365926,به چی میگن ربات؟
3789459299051365926,کارِل چاپِک از اسم ربات برای چی استفاده کرد؟
3789459299051365926,کلمه ربات چه معنی دارد؟
3789459299051365926,اسپارکو تولید کدام کارخانه است؟
3789459299051365926,در کدام دهه صنعت کنترل متحول شد؟
3789459299051365926,اسپارکو در چه سالی تولید شد؟
3789459299051365926,ویژگی سگ شرکت وستینگهاوس چه بود؟
-8207967348368518793,تعداد درختان سیب کشف شده؟
-8207967348368518793,چه درختی برگریز است؟
-8207967348368518793,چرا درخت سیب معروف است؟
-8207967348368518793,بزرگترین نوع مالوس کدومه؟
-8207967348368518793,کاربردهای سیب کدام است؟
-8207967348368518793,چرا سیب مهم است؟
-8207967348368518793,سیب از کجا می‌آید؟
7674741263543023890,کتاب چیه؟
7674741263543023890,لوح گلی چه زمانی رایج شد؟
7674741263543023890,کدکس را تعریف کنید؟
7674741263543023890,متن لوح‌ها اکثراً در باره چیست؟
7674741263543023890,کدکس‌ها چه کاربردی دارند؟
7674741263543023890,با چه وسیله‌ای روی لوح می‌نویسند؟
7674741263543023890,عناصر کتاب چیست؟
-4386666148201267869,گل چیه؟
-4386666148201267869,کاسبرگ‌ها چکار می‌کنند؟
-4386666148201267869,اجزای گیاهی گل کدامند؟
-4386666148201267869,تعریف پریانت چیست؟
-4386666148201267869,گلبرگ‌ها چه وظیفه‌ای دارند؟
-4386666148201267869,بخش‌های تولید مثلی گل را نام ببرید؟
-4386666148201267869,کاسبرگ‌ها به چه رنگ‌هایی دیده می‌شوند؟
3392493426281478351,اولین بار منچستر یونایتد با چه نامی تاسیس شد؟
3392493426281478351,ورزشگاه الدترافورد متعلق به چه باشگاه ورزشی است؟
3392493426281478351,تیم منچستر در چه لیگی بازی می‌کند؟
3392493426281478351,چگونه مشخص شد هوادران منچستر پرسروصداترین هواداران در لیگ برتر انگلستان هستند؟
3392493426281478351,باشگاه منچستر چگونه به محبوبیت رسیده است؟
3392493426281478351,دلیل وجود نشان شیطان در لوگو باشگاه منچستر چیه؟
3392493426281478351,تیم منچستر یونایتد حدودا چند هوادار دارد؟
169712947912031828,حرکت‌های اصلی ورزش وزنه‌برداری به غیر از اسکوات چیست؟
169712947912031828,حرکت اسکوات در وزنه‌برداری دارای چند مرحله است؟
169712947912031828,حرکت اسکات به جز عضلات چهارسر ران چه عضله های دیگری را مورد هدف قرار می ده؟
169712947912031828,در حرکت اسکوات زانو ها تا چه میزان خم می شود؟
169712947912031828,نوع انقباض عضله ها در حرکت اسکوات به چه شکل است؟
169712947912031828,رکورد قبلی حرکت اسکوات در اختیار چه کسی بود؟
169712947912031828,رکرود حرکت اسکوات در چه سالی شکسته شد؟
-1380962436516171946,چی شد که امریکا تصمیم گرفت تمرکز خود را بر ساخت پرنده‌های کنترل از راه دور بیشتر کنه؟
-1380962436516171946,چرا به پهپادها هواپیمای بدون سر نشین می‌گویند؟
-1380962436516171946,صنعیت پهپاد چقدر می ارزه؟
-1380962436516171946,امریکا تا قبل از سال ۲۰۰۰ چقدر هزینه کرد؟
-1380962436516171946,چه سالی امریکا تصمیم به اختصاص بودجه بیشتری به صنعت پهپاد گرفت؟
-1380962436516171946,از جمله استفاده‌های پهپادها چیست؟
-1380962436516171946,از جمله استفاده‌های پهپادها کدام‌اند؟
-7199059984370843864,کدام ورزش شبیه وزنه برداری است؟
-7199059984370843864,پاورلیفتینگ در چه سالی در ‍‍‍پارالمپیک قرار گرفت؟
-7199059984370843864, پاورلیفتینگ با لوازم به چه ابزاری نیاز دارد؟
-7199059984370843864, مسابقات پاورلیفتینگ در کدام مناطق جهان برگزار میشه؟
-7199059984370843864,ورزش  پاورلیفتینگ از چه ورزشی سرچشمه گرفته شده؟
-7199059984370843864,در حال حاضر در مسابقات پاورلیفتینگ به جزاسکوات چه حرکت های دیگه ای وجود داره؟
-7199059984370843864,مهم‌ترین مسابقات  پاورلیفتینگ در چه کشور های برگزار می شه؟
2271405835843006037,اولین شرکت تولید کننده موبایل کدام است؟
2271405835843006037,نوکیا در چه سالی تاسیس شد؟
2271405835843006037,از اولین تولیدات نوکیا؟
2271405835843006037,موسس شرکت نوکیا کیست؟
2271405835843006037,شرکت نوکیا در کحا قرار دارد؟
2271405835843006037,سهام شرکت نوکیا در کجا معامله می شود؟
2271405835843006037,نوکیا در انحصار کدام شرکت ها بود؟
1107950663092244282,سمند چندمین خودروی ملی ایران است؟
1107950663092244282,شرکت دایملربنز با همکاری ایران خودرو چه چیزی تولید می کند؟
1107950663092244282,ایران ناسیونال اسم کدام شرکت بود؟
1107950663092244282,کدام شرکت در پیشرفت ایران خودرو نقش داشت؟
1107950663092244282,ایران خودرو چه شرکتی است؟
1107950663092244282,دنا از تولیدات کدام شرکت می باشد؟
1107950663092244282,برنامه ریزی تولید پیکان از چه سالی کلید خورد؟
-4706989584757037924,قدیمی‌ترین دانشگاه چیه؟
-4706989584757037924,ماگنورا چه زمانی پایه‌گذاری شد؟
-4706989584757037924,در دانشگاه‌های آلمانی چه چیزی ارجحیت داشت؟
-4706989584757037924,دانشگاه سیطره بارداس را نام ببرید.
-4706989584757037924,حرکت موسسه اروپایی چگونه می‌باشد؟
-4706989584757037924,اعضای دانشگاه عصر سوم را نام ببرید.
-4706989584757037924,هزینه دانشگاه‌های عصر سوم چگونه تامین می‌شود؟
4166930595788289991,گرمایش زمین یعنی چی؟
4166930595788289991,اندازه گیری دمای زمین از چه سالی شروع شده؟
4166930595788289991,گرم شدن زمین سبب بروز چه مشکلاتی می شود؟
4166930595788289991,چجوری می شه از گرمایش زمین جلوگیری کرد؟
4166930595788289991,گرم ترین سال تاریخ چه سالی است؟
4166930595788289991,دام پروری صنعتی چه اثری روی گرمایش زمین دارد؟
4166930595788289991,اسم سازمان کشاورزی ملل متحد چیه؟
-4218180940088257775,حساب سپرده به انگلیسی چی می شه؟
-4218180940088257775,حساب سپرده چگونه است؟
